,Year,Annual CO₂ emissions
0,1750,9305937.0
1,1751,9407229.0
2,1752,9505168.0
3,1753,9610490.0
4,1754,9733580.0
5,1755,9793468.0
6,1756,9909914.0
7,1757,10093936.0
8,1758,10216358.0
9,1759,10338854.0
10,1760,10514331.0
11,1761,10747885.0
12,1762,10952198.0
13,1763,11191592.0
14,1764,11396982.0
15,1765,11643486.0
16,1766,11876080.0
17,1767,12152509.0
18,1768,12466936.0
19,1769,12780074.0
20,1770,13097216.0
21,1771,13369488.0
22,1772,13623507.0
23,1773,13808138.0
24,1774,14012415.0
25,1775,14338920.0
26,1776,14654124.0
27,1777,14959537.0
28,1778,15243483.0
29,1779,15535235.0
30,1780,15878726.0
31,1781,16234383.0
32,1782,16580954.0
33,1783,17062752.0
34,1784,17471092.0
35,1785,17965128.0
36,1786,18447496.0
37,1787,18859130.0
38,1788,19286228.0
39,1789,19863424.0
40,1790,20398094.0
41,1791,20931750.0
42,1792,21929214.0
43,1793,22297260.0
44,1794,22519656.0
45,1795,22315246.0
46,1796,22121374.0
47,1797,22090078.0
48,1798,23105928.0
49,1799,27485206.0
50,1800,32798352.0
51,1801,31986050.0
52,1802,40310476.0
53,1803,29538506.0
54,1804,31769176.0
55,1805,31251818.0
56,1806,32704620.0
57,1807,36200652.0
58,1808,35497788.0
59,1809,36333812.0
60,1810,39492310.0
61,1811,40176680.0
62,1812,40814520.0
63,1813,41206140.0
64,1814,42226650.0
65,1815,43587264.0
66,1816,45496580.0
67,1817,49275920.0
68,1818,51392010.0
69,1819,50930170.0
70,1820,50733076.0
71,1821,52059348.0
72,1822,54021710.0
73,1823,56357760.0
74,1824,57583636.0
75,1825,60730864.0
76,1826,61382130.0
77,1827,65738572.0
78,1828,66681790.0
79,1829,66307412.0
80,1830,88988260.0
81,1831,83250616.0
82,1832,82091560.0
83,1833,83248700.0
84,1834,88763100.0
85,1835,97399600.0
86,1836,106894500.0
87,1837,106199420.0
88,1838,105845260.0
89,1839,109653030.0
90,1840,118808510.0
91,1841,122165550.0
92,1842,129388790.0
93,1843,132369384.0
94,1844,141942270.0
95,1845,155037360.0
96,1846,157656130.0
97,1847,170740910.0
98,1848,173579870.0
99,1849,184931980.0
100,1850,196751970.0
101,1851,198668110.0
102,1852,207414200.0
103,1853,217120430.0
104,1854,255033170.0
105,1855,260104400.0
106,1856,277296450.0
107,1857,279932000.0
108,1858,284225150.0
109,1859,301481250.0
110,1860,330962600.0
111,1861,347785820.0
112,1862,354488900.0
113,1863,378180160.0
114,1864,407725980.0
115,1865,432859140.0
116,1866,446553600.0
117,1867,478160740.0
118,1868,491551940.0
119,1869,521954200.0
120,1870,533338270.0
121,1871,566891300.0
122,1872,627301250.0
123,1873,666481200.0
124,1874,624232500.0
125,1875,677113860.0
126,1876,686780200.0
127,1877,700404400.0
128,1878,705973570.0
129,1879,755990460.0
130,1880,853916350.0
131,1881,883544060.0
132,1882,933360100.0
133,1883,992753600.0
134,1884,1004134100.0
135,1885,1011637100.0
136,1886,1027417500.0
137,1887,1078746900.0
138,1888,1194352600.0
139,1889,1194624000.0
140,1890,1300362400.0
141,1891,1361750100.0
142,1892,1372396500.0
143,1893,1355477200.0
144,1894,1403019100.0
145,1895,1487432300.0
146,1896,1536365600.0
147,1897,1609231600.0
148,1898,1697166300.0
149,1899,1853709200.0
150,1900,1952209500.0
151,1901,2016744400.0
152,1902,2067683800.0
153,1903,2254100200.0
154,1904,2279747300.0
155,1905,2427318300.0
156,1906,2534733000.0
157,1907,2888318000.0
158,1908,2776440800.0
159,1909,2890495000.0
160,1910,3034089700.0
161,1911,3079502000.0
162,1912,3235963600.0
163,1913,3506275800.0
164,1914,3180355600.0
165,1915,3134854000.0
166,1916,3385858300.0
167,1917,3540426800.0
168,1918,3493264100.0
169,1919,3029006600.0
170,1920,3521427500.0
171,1921,3090096600.0
172,1922,3240313900.0
173,1923,3676233200.0
174,1924,3687220200.0
175,1925,3727033600.0
176,1926,3661030400.0
177,1927,3996128800.0
178,1928,3978763300.0
179,1929,4270907600.0
180,1930,3938598400.0
181,1931,3519903200.0
182,1932,3173476400.0
183,1933,3341518300.0
184,1934,3634241800.0
185,1935,3814798300.0
186,1936,4185513700.0
187,1937,4474233000.0
188,1938,4206901000.0
189,1939,4451247000.0
190,1940,4861346000.0
191,1941,4970814500.0
192,1942,4959586000.0
193,1943,5041694000.0
194,1944,5117908500.0
195,1945,4257136000.0
196,1946,4646123500.0
197,1947,5145782000.0
198,1948,5424953000.0
199,1949,5181006000.0
200,1950,5929342000.0
201,1951,6381405700.0
202,1952,6467437000.0
203,1953,6650861600.0
204,1954,6789497300.0
205,1955,7443861000.0
206,1956,7925980700.0
207,1957,8185614000.0
208,1958,8417160000.0
209,1959,8854662000.0
210,1960,9386421000.0
211,1961,9414383000.0
212,1962,9746556000.0
213,1963,10266046000.0
214,1964,10823619000.0
215,1965,11309690000.0
216,1966,11861708000.0
217,1967,12236328000.0
218,1968,12904336000.0
219,1969,13760840000.0
220,1970,14898157000.0
221,1971,15502787000.0
222,1972,16223440000.0
223,1973,17083500000.0
224,1974,17009382000.0
225,1975,17049979000.0
226,1976,17985243000.0
227,1977,18494652000.0
228,1978,19063955000.0
229,1979,19603001000.0
230,1980,19482442000.0
231,1981,19016950000.0
232,1982,18865373000.0
233,1983,18985900000.0
234,1984,19641730000.0
235,1985,20305132000.0
236,1986,20607515000.0
237,1987,21245784000.0
238,1988,22077385000.0
239,1989,22378970000.0
240,1990,22752700000.0
241,1991,23229475000.0
242,1992,22567199000.0
243,1993,22798350000.0
244,1994,23034776000.0
